.??.???###?????????. 7,2
?????.?.??## 2,1,2
?.??.#???.?? 1,1,4,2
#?##??#.????? 7,1,1
?.###?.##?? 4,3
??#????.???????#? 7,1,6
.##.#..???.?????.?? 2,1,1,1,4,1
??#.???#.?. 2,1
.??????####?.?.#??.? 1,1,7,2,1
??#?#????.?.?? 5,1,1,2
#?.?????###? 1,8
###????#?? 3,2
???#???#????#.?? 7,1,1
??#?#???.?#? 4,3
#..??#??#??????? 1,2,4,2
???##??????.?? 7,1
?#?#.??????????#?. 4,7,2
#???#???#???????. 12,1
?#??#??????##??? 1,2,1,5
???#???#####??..???. 3,7,1
.????.????#?#?#??? 3,10
?..##.???????#?? 1,2,1,5
?.#?##..??.? 1,4,1,1
?????##?#?#??? 1,9
?#.??.?#?#?.#? 1,1,3,2
.##??##?.???? 2,3,2
???#?.???..?#??????. 4,1,2,1,1,1
..#?##?##??#???.??? 12,2
?????#.?.??.?.. 1,4,1,1
?.?.?#??.?????##?? 1,2,1,1,3,1
??#?##?#??#???## 6,1,2,2
??????#??#.???#??.. 1,8,2,3
?.??##??#????.#?#? 1,5,1,1,1
?#???##???#???#????? 1,5,10
.????#?##.??#???. 4,3
..??#.????????????? 2,5
..#???##?.? 1,3
.??#???..??? 4,1
?#?#????#????..##? 4,7,2
.?#?##???#???.?.?#?? 12,2
##?..##??#??.??.? 3,6,1
?..???#?#???????#??? 1,1,4,1,2,4
#?#??##?????#?. 1,6,2
.?.#?#????????? 1,3,3,2
????.??#??#???##?#? 3,13
??##.?.???.?. 3,1,1
?#?#????????#?.#. 2,4,2,1,1
.#?#?.????# 4,4
????..???# 3,1,1
.????.????????.???? 3,1,2
???#???#?????#?????# 1,15,1
..#?.?????#??? 2,5,1
#.?.?.?##.?? 1,2
??.??#.????##?..?? 1,1,1,4,1
????????.??? 5,3
#?.##?.?#? 1,3,1
?????..##? 2,2
#???#?????.??.????? 1,3,1,1,3
???.#???#??#?????#? 3,11,1
??####??#.#?#?? 6,1,3
.??#?????.?.##??#?#? 4,7
.??.?#?.??????? 1,2,2,1
?.????..#????. 2,4
?????.???.?#??#?#? 2,1,1,7
##??????#? 2,2,3
#.??#.#.??? 1,2,1
??..????????? 1,2,1
???..?#.?. 2,1
?###?????##?????.. 4,4,3
??#??????..????? 1,1,1,1,3
#????????#??#??#. 3,1,9
.?#????#?#.??? 3,3
???##????.#?? 1,6,2
?#?#?...?.???#???? 4,1,3
#???#?#????#??#.??# 3,1,1,5,1,1
?#???????#????? 2,2,2,1
????#??#??????? 12,1
#???#??#?.#?#. 5,1,3
.??###????##?##??. 4,8
??????..????.??#??? 4,2
?#??.????.??#..#???? 2,1,3,3,4
.#???#??#?..?? 2,3,1,2
?#????..???.#??? 3,2,1,1,1
????#???..?? 1,3,1,1
?#?????##?#.??.#.? 1,1,6,2,1,1
????.?.#.? 3,1
?#????#??#??????.?.. 12,1,1
?.??##???#????. 1,1,10
#????.??##???? 1,1,6
???#?.??##?#? 1,2,1,5
???##??#???.????? 3,2,1,1
?#????.??##??# 3,1,7
.??????##?#??.### 1,8,3
#??##??#??#?? 1,10
?##?#?#???###???.?#? 8,4,1,3
??.????#?????? 1,9
???#???????.???#??? 7,6
?.??#???.????##?. 2,4
???????#??#.??#? 1,8,2
??#?????#??#?????. 2,1,8
